# PulseOx, Arterial oxygen saturation
89.00, 86.56
89.00, 84.78
89.00, 92.19
89.00, 89.11
89.00, 84.46
89.00, 86.24
89.00, 92.54
89.00, 89.07
89.00, 93.33
89.00, 93.24
89.00, 89.37
89.00, 86.06
89.00, 87.97
89.00, 90.84
89.00, 82.64
89.00, 93.87
89.00, 96.32
89.00, 95.00
89.00, 84.51
89.00, 90.30
89.00, 90.48
89.00, 86.25
89.00, 89.59
89.00, 83.91
89.00, 96.23
89.00, 86.18
89.00, 95.16
89.00, 93.96
89.00, 86.45
89.00, 87.27
89.00, 85.12
89.00, 91.39
89.00, 94.50
89.00, 86.92
89.00, 90.00
89.00, 89.73
89.00, 88.96
89.00, 87.11
89.00, 89.19
89.00, 86.83
89.00, 87.90
89.00, 96.26
89.00, 87.59
89.00, 87.10
89.00, 84.41
89.00, 89.65
89.00, 91.16
89.00, 92.34
89.00, 83.97
89.00, 85.57
89.00, 91.15
89.00, 91.52
89.00, 85.11
89.00, 82.45
89.00, 88.08
89.00, 91.63
89.00, 86.77
89.00, 84.77
89.00, 92.48
89.00, 92.16
89.00, 88.30
89.00, 89.95
89.00, 89.55
89.00, 89.25
89.00, 90.40
89.00, 87.08
89.00, 86.30
89.00, 90.29
89.00, 90.90
89.00, 95.13
89.00, 89.09
89.00, 89.04
89.00, 87.16
89.00, 93.67
89.00, 92.85
89.00, 91.79
89.00, 83.17
89.00, 83.97
89.00, 89.24
89.00, 89.72
89.00, 89.43
89.00, 93.63
89.00, 89.73
89.00, 86.63
89.00, 88.65
89.00, 89.18
89.00, 85.99
89.00, 92.13
89.00, 90.15
89.00, 86.99
89.00, 77.91
89.00, 90.58
90.00, 87.91
90.00, 95.00
90.00, 87.66
90.00, 90.02
90.00, 93.31
90.00, 93.32
90.00, 89.91
90.00, 83.27
90.00, 90.47
90.00, 84.98
90.00, 91.33
90.00, 84.15
90.00, 89.43
90.00, 92.86
90.00, 88.99
90.00, 92.63
90.00, 86.28
90.00, 82.46
90.00, 85.47
90.00, 88.82
90.00, 90.17
90.00, 88.15
90.00, 89.44
90.00, 93.80
90.00, 89.05
90.00, 85.79
90.00, 91.96
90.00, 86.18
90.00, 92.18
90.00, 86.12
90.00, 88.83
90.00, 86.66
90.00, 88.89
90.00, 93.41
90.00, 89.02
90.00, 88.05
90.00, 94.22
90.00, 87.37
90.00, 87.91
90.00, 87.83
90.00, 94.64
90.00, 90.07
90.00, 89.22
90.00, 91.29
90.00, 87.83
90.00, 88.82
90.00, 91.35
90.00, 88.76
90.00, 88.58
90.00, 89.65
90.00, 86.09
90.00, 89.87
90.00, 84.93
90.00, 93.58
90.00, 91.80
90.00, 89.06
90.00, 84.08
90.00, 84.28
90.00, 90.35
90.00, 90.75
90.00, 90.51
90.00, 89.27
90.00, 82.77
90.00, 86.62
90.00, 87.42
90.00, 86.36
90.00, 83.73
90.00, 87.61
90.00, 90.09
90.00, 90.37
90.00, 82.08
90.00, 89.04
90.00, 85.45
90.00, 87.13
90.00, 92.37
90.00, 85.82
90.00, 93.40
90.00, 91.05
90.00, 85.58
90.00, 92.68
90.00, 92.16
90.00, 89.93
90.00, 92.59
90.00, 84.26
90.00, 92.74
90.00, 88.23
90.00, 86.51
90.00, 89.80
90.00, 87.08
90.00, 91.25
90.00, 90.03
90.00, 95.18
90.00, 85.73
90.00, 88.56
90.00, 88.80
90.00, 89.53
90.00, 88.09
90.00, 84.14
90.00, 91.43
90.00, 94.37
90.00, 90.67
90.00, 92.16
90.00, 87.77
90.00, 90.55
90.00, 89.11
90.00, 90.20
90.00, 89.21
90.00, 91.69
90.00, 89.86
90.00, 88.15
90.00, 87.66
90.00, 88.49
90.00, 90.54
90.00, 90.28
90.00, 89.23
90.00, 87.35
90.00, 88.92
90.00, 87.27
90.00, 88.50
90.00, 95.76
90.00, 86.83
90.00, 88.23
90.00, 92.89
90.00, 91.23
90.00, 91.07
90.00, 89.62
90.00, 92.84
